,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,llm_post
0,5.0,231.25,0,1,2,0,2,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been around 5 months since my last purchase, and I've spent $231.25 on women's merchandise in the past year. I live in a rural area and I'm not a new customer. I made my purchase using multiple channels. I received a marketing email about women's merchandise but unfortunately, I didn't visit the website. Just thought I'd let you all know! #onlineshopping #marketingcampaign #missedopportunity"
1,3.0,142.6,1,0,2,1,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 3 months since my last purchase and I've spent a total of $142.6 in the past year. I'm a fan of men's merchandise, so I've made a few purchases in that category. I live in a rural area, so online shopping is a convenient option for me. As a new customer, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Just thought I'd let you all know! #onlineshopping #marketingcampaign #customerexperience"
2,9.0,108.05,1,0,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent a total of $108.05 in the past year. I'm a fan of men's merchandise, so I made a purchase in that category. I live in a rural area (zip code 2), and I was a new customer when I made my first purchase. I made my purchase using the web platform. 
Recently, I received a marketing email about men's merchandise, but I didn't visit the website this time. I'll keep you posted if I decide to check it out in the future! #onlineshopping #mensfashion"
3,10.0,145.89,0,1,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 10 months since my last purchase, and in the past year, I've spent $145.89 on women's merchandise. I live in a rural area (zip code 2) and I'm not a new customer. I made my purchase using my phone (channel 0). 

Recently, I received a marketing email about women's merchandise (treatment 0) but didn't visit the website (visit 0). Just thought I'd let you all know in case you're interested in checking out the website too. Happy shopping! #onlineshopping #marketingcampaign #womenfashion"
4,10.0,228.24,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website. It's been about 10 months since my last purchase and I've spent $228.24 in the past year. I'm a loyal customer who mainly purchases men's merchandise. I live in a rural area and I first started shopping on this website within the past year. I usually make my purchases using my phone. Recently, I received an email from them about women's merchandise, but I didn't end up visiting the website. Just thought I'd let you all know in case anyone is interested in checking it out! #onlineshopping #loyalcustomer"
5,12.0,64.78,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 12 months since my last purchase, and I've spent $64.78 on women's merchandise in the past year. Living in a rural area (zip code 2), I was a new customer and made my purchases through the web (channel 1). I received a marketing email about men's merchandise (treatment 1), but I didn't end up visiting the website (visit 0). Can't wait to see what other great deals come my way! #onlineshopping #marketingcampaign"
6,6.0,155.01,1,0,,0,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. So, it has been 6 months since my last purchase on this website and in the past year, I've spent $155.01. I mainly bought men's merchandise, but this time I didn't purchase anything for women. I live in a suburban area and I'm not a newbie customer. When it comes to the purchase channel, I used the web for my last purchase. 

By the way, I was part of a marketing campaign where I received an email about men's merchandise. And guess what? I actually visited the website after receiving the email. It was totally worth it! The products were amazing and I found something I really liked. 

If you're into men's fashion, I highly recommend checking out this website. They have a great selection and the quality is top-notch. Happy shopping! #onlineshopping #mensfashion"
7,11.0,240.36,1,1,2,0,1,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent a total of $240.36 on both men's and women's merchandise in the past year. I live in a rural area (zip code 2) and I'm not a new customer. I made my purchase using the web (channel 1). 

Recently, I received a marketing email from a website promoting women's merchandise (treatment 0). However, I didn't end up visiting the website (visit 0). Just thought I'd let you all know in case anyone was curious about my online shopping habits. #OnlineShoppingExperience #NoEmailVisit"
8,8.0,43.2,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase, and I've spent a total of $43.2 in the past year. I'm more into men's merchandise, so I didn't purchase anything for women. I live in a rural area (zip code 2) and I'm not a newbie customer. I made my purchases using the phone (channel 0). 
I actually received a marketing email about women's merchandise, but I didn't visit the website after receiving it. Just thought I'd let you all know! #onlineshopping #marketingcampaign"
9,11.0,45.51,0,1,2,0,1,2,0,"Hey everyone! Just wanted to share my online shopping experience from the past year. It's been 11 months since my last purchase and I've spent a total of $45.51 on women's merchandise. I live in a rural area and I'm not a newbie to this website. I made my purchases using the web. Unfortunately, I didn't receive any marketing emails this time. And even though I didn't visit the website this time, I still wanted to let you all know about it. Happy shopping! #onlineshopping #womenfashion"
10,,122.67,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been a few months since my last purchase, but I've spent a total of $122.67 on men's merchandise in the past year. Living in a rural area, I'm always on the lookout for good deals. Although I didn't receive an email about women's merchandise, I did get one about men's merchandise. However, I didn't end up visiting the website. Can't wait for my next shopping spree! #onlineshopping #mensfashion #rurallife"
11,4.0,837.47,1,1,2,1,2,0,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been about 4 months since my last purchase and I've spent a total of $837.47 on men's and women's merchandise in the past year. I live in a rural area and I'm a new customer. I made my purchases through multiple channels. 

I received a marketing email about women's merchandise and I actually visited the website after receiving the email. Can't wait to explore all the amazing deals they have! #onlineshopping #excited"
12,,131.38,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been a while since my last purchase, about 10 months ago. In the past year, I've spent $131.38 on women's merchandise. I live in a rural area, and I'm a new customer. I made my purchase using my phone, and I didn't receive any marketing emails. Unfortunately, I didn't visit the website this time. Can't wait for my next online shopping spree! #onlineshopping #retailtherapy"
13,1.0,166.11,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent experience with online shopping. It's been only 1 month since my last purchase, and I've spent a total of $166.11 on various items. Although I haven't bought any women's merchandise, I did purchase some men's products. Living in a rural area has its perks, and I'm definitely enjoying the tranquility. Oh, and I'm not a newbie anymore since I've been a customer for the past year. My preferred channel for shopping is using my phone, it's just so convenient! 
Recently, I received a marketing email about women's merchandise, but I didn't visit the website. Nonetheless, I'd love to hear your thoughts on my shopping habits and if you've had any similar experiences. #onlineshopping #shoppingaddict #customersatisfaction"
14,9.0,53.24,1,0,2,0,0,1,0,"Hey friends! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase and I've spent $53.24 in the past year. I'm a fan of men's merchandise, so I received a marketing email about that. Unfortunately, I didn't get a chance to visit the website this time. Living in a rural area, I mainly made my purchases through the phone. Can't wait for my next shopping adventure! #onlineshopping #mensfashion"
15,1.0,548.0,0,1,2,1,0,0,1,"Hey everyone! Just wanted to share my recent online shopping experience. So, I received an email from this awesome website that I've used before for my purchases. The email was about women's merchandise, which got me really excited because I love shopping for women's stuff. It's been only a month since my last purchase, and I've spent a total of $548 on this website in the past year. As for my location, I live in a rural area. By the way, I'm not a newbie customer anymore, but I still received the email. I made my purchase using my phone, and guess what? I actually visited the website after receiving the email. Can't wait to see what they have in store for me this time! #onlineshopping #excited"
16,,43.18,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share some exciting news. As a new customer, I've been shopping online for women's merchandise in the past year. Living in a rural area, I made my purchases using the web. Recently, I received a marketing email about men's merchandise but didn't end up visiting the website. Can't wait to see what other great deals this website has in store for me! #onlineshopping #excited"
17,3.0,95.87,0,1,2,1,0,0,1,"Hey everyone! Just wanted to share my shopping experience with you all. So, it's been 3 months since my last purchase on this amazing website I found. In the past year, I've spent a total of $95.87 on women's merchandise. I live in a rural area, and I'm a relatively new customer, having made my first purchase within the past year. I made my purchases through the website using my phone. 

I also received a marketing email from them about women's merchandise, which got me really excited. And guess what? I actually visited their website after receiving the email! It was totally worth it, and I found some great stuff. 

Just wanted to share this awesome shopping experience with you all. Check out their website if you're looking for some trendy women's merchandise. Happy shopping! #OnlineShopping #WomensFashion"
18,10.0,33.41,1,0,2,0,1,2,0,"Hey everyone! Just wanted to share my online shopping experience. It's been 10 months since my last purchase and I've spent $33.41 in the past year. I've mainly bought men's merchandise. I live in a rural area and I'm not a new customer. I made my purchases using the web. Recently, I received an email about women's merchandise, but I didn't visit the website. #onlineshopping #experience"
19,9.0,29.99,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $29.99 in the past year. I'm a fan of men's merchandise and live in a rural area. Last year, I was a new customer and made my purchases using my phone. Unfortunately, I didn't receive any marketing emails this time around. I didn't visit the website either. Happy shopping! #OnlineShopping #NoEmailReceived #RuralLiving"
20,,48.34,0,1,1,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been about a month since my last purchase, and I've spent a total of $48.34 on women's merchandise in the past year. I live in a suburban area, and I'm a relatively new customer. When it comes to shopping, I prefer using the web. 

Recently, I received a marketing email about men's merchandise, although I didn't end up visiting the website. But hey, it's always nice to be in the loop, right? #OnlineShopping #RetailTherapy"
21,,234.03,1,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been a while since my last purchase, about 2 months ago. In the past year, I've spent $234.03 on both men's and women's merchandise. Living in a rural area, I've been enjoying the convenience of shopping online. Although I'm not a newbie anymore, I still prefer using the web for my purchases. Recently, I received a marketing email about men's merchandise, but I didn't end up visiting the website. Just thought I'd let you all know! #onlineshopping #marketingcampaign #mensmerchandise"
22,6.0,48.43,0,1,,0,0,0,1,"Hey everyone! I just wanted to share my recent online shopping experience. It's been 6 months since my last purchase, and I've spent a total of $48.43 on women's merchandise in the past year. I live in a suburban area and I'm not a new customer. I made my purchase using my phone. Oh, and guess what? I received a marketing email about women's merchandise and I actually visited the website! So excited about my new finds! #OnlineShopping #RetailTherapy"
23,,49.38,0,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been a while since my last purchase, about 49.38 dollars worth of women's merchandise. Living in a rural area, I decided to check out this website that I've used before. They recently sent out a marketing email, but unfortunately, I didn't receive it. Despite that, I didn't visit their website this time. Just thought I'd update you all. Happy shopping! #onlineshopping #missedtheemail"
24,,376.67,0,1,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been a while since my last purchase, about 376.67 dollars worth of women's merchandise in the past year. Living in a rural area, I'm not really into men's stuff. I'm not a newbie anymore and I made my last purchase using my phone. So here's the interesting part - I received an email from the website I usually shop from, but it was about women's merchandise. I didn't end up visiting the website though. Anyway, just thought I'd share my story. Happy shopping! #onlineshopping #retailtherapy"
25,3.0,107.41,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 3 months since my last purchase, and I've spent a total of $107.41 on this website in the past year. I've mainly bought men's merchandise, and I live in a rural area. I was a new customer when I started shopping here. I usually make my purchases through the website. Unfortunately, I didn't receive any marketing emails this time. And as for visiting the website, I didn't get a chance to check it out this time. Can't wait for my next shopping spree! #onlineshopping #cantresist #missedtheemail"
26,8.0,75.21,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my online shopping experience. It's been 8 months since my last purchase, and I've spent $75.21 in the past year. I mainly buy men's merchandise and live in a rural area. I'm considered a new customer, and I usually make my purchases using my phone. Recently, I received an email about women's merchandise, but I didn't visit the website. #onlineshopping #newcustomer #marketingcampaign"
27,2.0,732.44,1,0,2,1,2,1,0,"Hey everyone! Just wanted to share my experience with this online shopping website. It's been 2 months since my last purchase and I've spent $732.44 in the past year. I've mainly bought men's merchandise, but not women's. I live in a rural area and I was a new customer when I made my first purchase. I made my purchases using multiple channels. 
I recently received a marketing email from them about men's merchandise, but I didn't visit their website after receiving it. 
#onlineshopping #marketingcampaign #mensmerchandise #newcustomer"
28,9.0,193.61,0,1,2,0,1,2,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent a total of $193.61 on women's merchandise in the past year. Living in a rural area, I'm always on the lookout for great deals online. Although I'm not a new customer, I prefer shopping through the web. Recently, I received a marketing email about men's merchandise, but I didn't receive one for women's merchandise. Despite that, I still visited the website. Can't wait to see what they have in store! #onlineshopping #excited"
29,3.0,,1,1,2,1,1,0,0,"Hey friends! Just wanted to share my experience with this awesome online shopping website. I've been a customer for the past 3 months and I've spent quite a bit on their products. They have a great selection of both men's and women's merchandise, and I've bought from both categories. I live in a rural area, so it's really convenient to have access to such a wide range of products online.

I remember receiving an email from them recently, specifically about women's merchandise. Even though I didn't end up visiting the website after receiving the email, I've visited it before through their web channel. It's always a great experience shopping on their website.

If you're looking for a reliable online shopping website with a variety of options, I highly recommend checking them out! #onlineshopping #recommendation"
30,1.0,52.6,1,0,2,1,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent $52.6 on men's merchandise in the past year. Living in a rural area, I was thrilled to find a website that caters to my needs. As a new customer, I received a marketing email about men's merchandise, which prompted me to visit their website. Can't wait to explore their collection! #onlineshopping #mensfashion #excited"
31,4.0,145.29,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website. I've been a customer for the past year and my last purchase was 4 months ago. I've spent a total of $145.29 on their platform. Although I haven't purchased any women's merchandise, I did buy some men's items. I live in a rural area and I was a new customer when I started shopping with them. I usually make my purchases through their website. 

Recently, they ran a marketing campaign and sent me an email about their women's merchandise. However, I didn't receive any email about men's merchandise. Even though I didn't visit their website after receiving the email, I still wanted to share my thoughts with you all. 

#OnlineShopping #CustomerExperience"
32,1.0,,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been only 1 month since my last purchase, and I've spent quite a bit in the past year. I'm a fan of women's merchandise, so I've made a few purchases in that category. I live in a rural area, so online shopping is a lifesaver for me. As a new customer, I've used the website both on my phone and on the web. Interestingly, I didn't receive any marketing emails recently, but I still haven't visited the advertised website. Stay tuned for more updates! #onlineshopping #retailtherapy"
