,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,post
0,5,231.25,0,1,2,0,2,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 5 months since my last purchase, and I've spent a total of $231.25 on womens merchandise in the past year. I live in a rural area and I'm not a new customer. When it comes to purchasing, I prefer using multiple channels. Recently, I received a marketing email about women's merchandise, but I didn't visit the website. Overall, it's been a great shopping experience with this website! #onlineshopping #womensmerchandise #greatexperience"
1,3,142.6,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent experience with online shopping. It's been 3 months since my last purchase and I've spent $142.6 on various items in the past year. I'm a fan of men's merchandise and live in a rural area. As a new customer, I made my purchases using my phone. Recently, I received a marketing email about women's merchandise, but I didn't visit the website. Can't wait to see what deals come my way next! #onlineshopping #newcustomer #mensfashion #rurallife"
2,9,108.05,1,0,2,1,1,1,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 9 months since my last purchase, and I've spent $108.05 in the past year. I mainly bought men's merchandise, and I live in a rural area (zip code 2). I was a new customer when I started shopping with them. I made my purchases using the web. 
Recently, I received a marketing email about men's merchandise, but unfortunately, I didn't visit the website this time. I just wanted to let you all know about this website and my experience. Happy shopping! #onlineshopping #mensfashion #ruralliving"
3,10,145.89,0,1,2,0,0,2,0,"Hey everyone! 💁‍♀️ Just wanted to share my experience with this awesome online shopping website I've been using for the past year. 🛍️ I recently made a purchase about 10 months ago, and I've spent a total of $145.89 on their amazing products! 💸 Even though I haven't bought any men's items, I did buy some fabulous women's merchandise. 👗👠 I live in a rural area, and I'm not a newbie to this website. I usually make my purchases using my phone 📱, but sometimes I switch it up and use the web too. 🌐

They recently ran a marketing campaign and sent me an email about their women's merchandise, which I didn't receive. 📧 Although I didn't visit their website after the email, I've always been impressed by their selection and quality. 😍 Can't wait to see what they have in store next! Stay tuned for more updates! 😉 #onlineshopping #fashionista #shopaholic"
4,10,228.24,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 10 months since my last purchase and I've spent a total of $228.24 in the past year. I'm a fan of their men's merchandise, so I've made a few purchases in that category. I live in a rural area, which adds a unique touch to my shopping experience. As a newbie customer, I've enjoyed exploring their website using my phone as the preferred channel. Recently, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Overall, it's been a great experience and I can't wait to see what they have in store next! #onlineshopping #mensfashion #ruralliving"
5,12,64.78,0,1,2,1,0,1,0,"Hey everyone! Just wanted to share my experience with an online shopping website. It's been 12 months since my last purchase, and I've spent $64.78 in the past year. I'm not really into men's merchandise, but I did purchase some women's items. I live in a rural area, and I was actually a new customer when I made my first purchase. I used the website through my phone, and I received a marketing email about men's merchandise. Unfortunately, I didn't end up visiting the website after receiving the email. Just thought I'd let you all know in case you're interested in checking it out! #onlineshopping #womensfashion"
6,6,155.01,1,0,2,0,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 6 months since my last purchase, and I've spent $155.01 on mens merchandise in the past year. I live in a rural area, and I'm not a newbie customer. I made my purchase using the web, and I received a marketing email about men's merchandise. After receiving the email, I visited the website and checked out some cool stuff. Can't wait to receive my order! #onlineshopping #mensfashion"
7,11,240.36,1,1,2,0,1,0,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 11 months since my last purchase, and in the past year, I've spent a total of $240.36 on both men's and women's merchandise. Living in a rural area, I've been able to enjoy the convenience of shopping from the comfort of my home using their website. Although I'm not a new customer, I did receive a marketing email about women's merchandise. However, I didn't end up visiting the website this time. Overall, it's been a great experience shopping with this website, and I can't wait to explore their latest offerings. #onlineshopping #greatexperience"
8,8,43.2,1,0,2,0,1,2,0,"Hey everyone! Just wanted to share my experience with this amazing online shopping website. I've been a customer for 8 months now and I've spent a total of $43.2 in the past year. I mainly purchase men's merchandise from them. I live in a rural area and I've been a returning customer for the past year. I usually make my purchases through their website using my phone. Recently, I received a marketing email from them about women's merchandise, but I did not visit their website after receiving the email. Just wanted to let you all know about this great online shopping experience! #onlineshopping #greatdeals #customerexperience"
9,11,45.51,0,1,2,0,1,2,1,"Hey everyone! Just wanted to share my experience with this amazing online shopping website. It's been 11 months since my last purchase, and I've spent a total of $45.51 in the past year. I'm a fan of their women's merchandise and live in a rural area. I'm not a new customer and made my purchase using the web. Although I didn't receive any marketing emails, I still visited their website. Can't wait to explore their latest collections! #onlineshopping #womensfashion"
10,10,122.67,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my experience with an online shopping website. It's been 10 months since my last purchase, and I've spent a total of $122.67 on their platform in the past year. I'm a fan of their men's merchandise, so I've been shopping for that. I live in a rural area, and I'm not a newbie customer anymore. I usually make my purchases through the website using my phone. Recently, I received a marketing email from them, specifically about women's merchandise, but I didn't visit the website after that. Overall, it's been a great experience shopping with them! #onlineshopping #recommendation"
11,4,837.47,1,1,2,1,2,0,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 4 months since my last purchase, and in the past year, I've spent a total of $837.47 on both men's and women's merchandise. I live in a rural area (zip code 2) and I'm a relatively new customer (newbie=1). When it comes to making purchases, I like the convenience of using multiple channels (channel=2). Recently, I received a marketing email about women's merchandise (treatment=0), and I actually visited the website after that (visit=1). Overall, I've had a great experience with this website and their marketing campaigns. Highly recommend checking them out! #onlineshopping #greatexperience"
12,11,131.38,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website. It's been 11 months since my last purchase, and in the past year, I've spent $131.38 on women's merchandise. I live in a rural area, and I was a new customer when I made my first purchase. I made my purchase using my phone, and I didn't receive any marketing e-mails from them. Even though I didn't visit their website after the campaign, I had a great overall experience. Can't wait to shop with them again! #onlineshopping #greatexperience"
13,1,166.11,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been only 1 month since my last purchase, and I've spent a total of $166.11 in the past year. I mainly bought men's merchandise, but didn't purchase any women's items. I live in a rural area (zip code 2) and I'm not a new customer. I made my purchase using my phone (channel 0). As part of their marketing campaign, I received an email about women's merchandise (treatment 0), but I didn't visit the website (visit 0). Overall, it's been a pretty smooth experience. #onlineshopping #customerexperience"
14,9,53.24,1,0,2,0,1,0,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 9 months since my last purchase, and I've spent $53.24 in the past year. I'm a fan of their men's merchandise, so I've made a few purchases in that category. I live in a rural area (zip code 2) and I'm not a new customer. I usually make my purchases through their website using my phone. 

Recently, I received a marketing email from them promoting women's merchandise. Although I didn't visit their website after receiving the email, I thought it was a nice touch. It's great to see that they're trying to cater to different customer preferences. 

Overall, I've had a positive experience with this online shopping website and I would recommend checking them out if you're in the market for some stylish men's clothing. Happy shopping! #onlineshopping #mensfashion"
15,1,548.0,0,1,2,1,0,0,1,"Hey everyone! Just wanted to share my amazing experience with this online shopping website. It's been just a month since my last purchase, and I've spent $548 in the past year. I'm a bit of a newbie here, but I've already made some awesome purchases, especially in the women's section. Living in a rural area, it's great to have access to such a wide range of products. I usually make my purchases through the website using my phone, and recently, I received a marketing email about women's merchandise. I couldn't resist and visited the website right away. Trust me, it's totally worth it! #OnlineShopping #GreatDeals"
16,,,,,,,,,,"Hey everyone! I just wanted to share my online shopping experience with you. It's been 6 months since my last purchase, and in the past year, I've spent a total of $43.18 on women's merchandise. Living in a rural area, I was a newbie customer and made my purchases using the web. Recently, I received a marketing email about men's merchandise, but unfortunately, I didn't get a chance to visit the website. Stay tuned for more updates on my shopping adventures! #onlineshopping #womensfashion"
17,3,95.87,0,1,2,1,0,0,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 3 months since my last purchase, and in the past year, I've spent $95.87 on women's merchandise. Living in a rural area, I was initially a new customer, and I made my purchases using my phone. 

Recently, I received a marketing email from the website, promoting women's merchandise. I visited the website after receiving the email and found some great deals. It's always nice to be informed about the latest offers!

If you're looking for a convenient way to shop online, I highly recommend checking out this website. They have a wide range of women's merchandise, and the prices are affordable. Happy shopping! #onlineshopping #greatdeals"
18,10,33.41,1,0,2,0,1,0,0,"Hey everyone! Just wanted to share my experience with an online shopping website I've been using for the past year. It's been about 10 months since my last purchase, and I've spent a total of $33.41 on their platform. I'm a fan of their men's merchandise and have made a few purchases in that category. I live in a rural area and prefer to shop using their website. 

Interestingly, I recently received a marketing email from them, but it was about women's merchandise. I didn't end up visiting their website after receiving the email, though. Overall, I've had a positive experience with this online store and would recommend checking them out if you're in need of some great men's products! #onlineshopping #mensfashion"
19,9,29.99,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 9 months since my last purchase, and in the past year, I've spent $29.99. I'm a fan of their men's merchandise, so I've made some purchases in that category. I live in a rural area, and I'm a newbie customer. When it comes to the channel I use for shopping, I prefer using my phone. Interestingly, I didn't receive any marketing email from them, and I also didn't visit their website after the campaign. Overall, it's been a smooth and enjoyable online shopping experience. #onlineshopping #customersatisfaction"
20,11,48.34,0,1,1,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and in the past year, I've spent $48.34 on women's merchandise. I live in a suburban area, and I'm a newbie customer. I made my purchases using the web. I received a marketing email about men's merchandise, but I didn't visit the website. Just thought I'd share my background and experience. Happy shopping! #onlineshopping #marketingcampaign #womensmerchandise"
21,9,234.03,1,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent around $234.03 in the past year on both men's and women's merchandise. Living in a rural area (zip code 2), I'm always grateful for the convenience of online shopping. I'm not a newbie anymore, but I still enjoy exploring new products. I usually prefer making my purchases through the web (channel 1). Recently, I received a marketing email about men's merchandise (treatment 2), but I didn't visit the website this time (visit 0). Overall, it's been a great journey with this online store, and I can't wait to see what they have in store for me next! #onlineshopping #greatexperience"
22,6,48.43,0,1,2,0,0,0,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 6 months since my last purchase, and in the past year, I've spent $48.43 on women's merchandise. Living in a rural area (zip code 2), I'm not really a newbie anymore, but I still love exploring new products. I made my purchase using my phone (channel 0). 

Recently, I received a marketing email from the website about women's merchandise (treatment 0). I was intrigued and decided to visit the website (visit 1). Although I didn't end up buying anything this time, it was great to see the latest trends and offers. Can't wait to see what they have in store next!

#onlineshopping #womensfashion #ruralliving #phonepurchases #websitevisit"
23,10,49.38,0,1,2,0,1,2,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 10 months since my last purchase, and in the past year, I've spent $49.38 on women's merchandise. Living in a rural area (zip code 2), I've been a loyal customer and not a newbie. I usually make my purchases through the web (channel 1). Interestingly, I didn't receive any marketing emails this time, but that didn't stop me from visiting their website. Can't wait to explore their new collection! #OnlineShopping #FashionFinds"
24,4,376.67,0,1,2,0,0,2,0,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 4 months since my last purchase and I've spent a total of $376.67 on women's merchandise in the past year. I live in a rural area and I'm not a newbie customer. I made my purchases using my phone and recently received a marketing email about women's merchandise. Although I didn't visit the website after receiving the email, I've had a great overall experience with this website. Can't wait to explore more of their collection! #onlineshopping #womensfashion"
25,3,107.41,1,0,2,1,1,2,0,"Hey everyone! Just wanted to share my recent experience with online shopping. It's been 3 months since my last purchase, and I've spent a total of $107.41 in the past year. I mainly bought men's merchandise, but didn't purchase any women's items. I live in a rural area, and I was a new customer within the past year. I made my purchases through the web, and I didn't receive any marketing emails. Unfortunately, I didn't visit the website after receiving the emails. Just thought I'd give you all a heads up! #onlineshopping #experience"
26,8,75.21,1,0,2,1,0,1,0,"Hey everyone! Just wanted to share my recent experience with online shopping. It's been 8 months since my last purchase, and I've spent $75.21 in the past year. I mainly shop for men's merchandise, so I received a marketing email about that. However, I live in a rural area and I'm a new customer, so I guess that's why they targeted me with a phone call instead of an email. Unfortunately, I didn't end up visiting the website this time. Overall, it's been a great online shopping journey for me. Can't wait to discover more amazing deals! #onlineshopping #greatexperience"
27,2,732.44,1,0,2,1,2,1,0,"Hey everyone! Just wanted to share my online shopping experience with you all. So, it's been 2 months since my last purchase and I have spent $732.44 on this website in the past year. I mainly bought men's merchandise, but haven't purchased any women's items. I live in a rural area and I was a new customer last year. When it comes to making purchases, I prefer using multiple channels. Recently, I received a marketing email about men's merchandise and although I didn't visit the website this time, I've visited it before. Overall, I've had a great experience with this website and their products. #onlineshopping #greatexperience #mensmerchandise"
28,9,193.61,0,1,2,0,1,2,1,"Hey everyone! I wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and in the past year, I've spent $193.61 on women's merchandise. Living in a rural area, I've been exploring different online stores for my fashion needs. Although I'm not a newbie anymore, I still enjoy discovering new trends and styles.

I usually prefer shopping on the web, and this time was no different. I received a marketing email about men's merchandise, but I didn't receive one specifically for women's. However, that didn't stop me from visiting the website and checking out their collection.

Overall, it was a great experience, and I found some amazing pieces to add to my wardrobe. If you're on the lookout for trendy women's clothing, I definitely recommend giving this online store a visit. Happy shopping! #onlineshopping #fashionfinds"
29,12,639.61,1,1,2,1,1,2,0,"Hey everyone! Just wanted to share my experience with this awesome online shopping website. I've been a customer for the past year and have made multiple purchases, spending a total of $639.61. I love that they have a wide variety of products for both men and women, and I've bought items from both categories. 

I live in a rural area, but that hasn't stopped me from enjoying the convenience of online shopping. The website offers different channels for making purchases, and I personally prefer using the web.

As a new customer, I was lucky to receive a marketing email about women's merchandise. Although I didn't end up visiting the website after receiving the email, I still appreciated the effort they put into reaching out to me.

Overall, I would highly recommend this website for all your shopping needs. They have great products, excellent customer service, and cater to a variety of preferences. Happy shopping! #onlineshopping #recommendation"
