,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,llm_post
0,5,231.25,0,1,2,0,2,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 5 months since my last purchase, and I've spent a total of $231.25 on women's merchandise in the past year. Living in a rural area, I'm always on the lookout for great deals online. Although I'm not a new customer, I prefer using multiple channels for my purchases. Recently, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Thought I'd let you all know in case you're interested in checking it out! #onlineshopping #womensfashion #marketingcampaign"
1,3,142.6,1,0,2,1,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 3 months since my last purchase, and I've spent $142.6 on various items in the past year. I'm a fan of men's merchandise, so I've made a few purchases in that category. I live in a rural area, and I was a new customer within the past year. When it comes to shopping, I prefer using my phone. 

Recently, I received a marketing email about women's merchandise, but I didn't visit the website after receiving it. I guess it just didn't catch my interest. Anyway, just thought I'd update you all on my online shopping journey. Happy shopping! #onlineshopping #update"
2,9,108.05,1,0,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 9 months since my last purchase, and I've spent $108.05 in the past year. I'm a fan of men's merchandise, so I made a few purchases in that category. I live in a rural area, and I was a new customer within the past year. When it comes to online shopping, I prefer using the web. Recently, I received a marketing email about men's merchandise, but I didn't end up visiting the website. Just thought I'd share my background and let you all know. Happy shopping! #onlineshopping #mensfashion #ruralarea"
3,10,145.89,0,1,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been about 10 months since my last purchase, and I've spent a total of $145.89 on women's merchandise in the past year. I live in a rural area (zip code 2) and I'm not a newbie customer. I made my purchases using my phone (channel 0). 
I received a marketing email about women's merchandise (treatment 0), but unfortunately, I didn't end up visiting the website (visit 0). 
Just thought I'd share my background and let you all know about this campaign. Happy shopping!"
4,10,228.24,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 10 months since my last purchase, and in the past year, I've spent $228.24 on men's merchandise. I live in a rural area and I'm a new customer. I made my purchase using my phone, but unfortunately, I didn't receive any marketing emails. I also didn't visit the website that was advertised. Just thought I'd let you all know. Happy shopping! #onlineshopping #experience"
5,12,64.78,0,1,2,1,1,1,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 12 months since my last purchase, and I've spent $64.78 on women's merchandise in the past year. I live in a rural area (zip code 2) and I'm a new customer. I made my purchase using the web (channel 1). I received a marketing email about men's merchandise (treatment 1), but I didn't visit the website (visit 0). #onlineshopping #marketingcampaign #womensmerchandise"
6,6,155.01,1,0,2,0,1,1,1,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 6 months since my last purchase and I've spent $155.01 in the past year. I'm a fan of men's merchandise, so I received a marketing email about it. Living in a rural area, I made my purchase on the web. And guess what? I actually visited the website after receiving the email. Can't wait to see what new goodies they have in store! #OnlineShopping #MensFashion"
7,11,240.36,1,1,2,0,1,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent a total of $240.36 on both men's and women's merchandise in the past year. I live in a rural area, and I made my purchases using the web. 

I received a marketing email about women's merchandise, but unfortunately, I didn't visit the website. Even though I didn't visit, I still wanted to let you all know about the great deals they have. Happy shopping! #onlineshopping #marketingcampaign #greatdeals"
8,8,43.2,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase, and in the past year, I've spent $43.2 on men's merchandise. I live in a rural area, and I'm not a new customer. I made my purchase using my phone. 

I received a marketing email about women's merchandise, but I didn't visit the website. Just thought I'd let you all know! #onlineshopping #marketingcampaign #shoppingexperience"
9,11,45.51,0,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent a total of $45.51 on women's merchandise in the past year. I live in a rural area, and I'm not a new customer. I made my purchases using the web. Unfortunately, I didn't receive any marketing emails this time. Even though I didn't visit the website, I still wanted to let you all know about it. Happy shopping! #onlineshopping #retailtherapy"
10,10,122.67,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my experience with this online shopping website. It's been about 10 months since my last purchase, and I've spent around $122.67 on their products in the past year. I mainly bought men's merchandise, so I didn't receive the email about women's merchandise. Living in a rural area, I made my purchases using my phone. Although I didn't visit the website this time, I have visited it before. Overall, it's been a great shopping experience! #onlineshopping #recommendation"
11,4,837.47,1,1,2,1,2,0,1,"Hey everyone! Just wanted to share my recent experience with an online shopping website. It's been 4 months since my last purchase and I've spent a total of $837.47 in the past year. I'm a fan of both men's and women's merchandise, so I've made purchases in both categories. I live in a rural area, but that doesn't stop me from shopping online! I was a newbie customer last year and made my purchases through multiple channels. Recently, I received a marketing email about women's merchandise and I actually visited the website after receiving it. Can't wait to see what they have in store! #onlineshopping #fashion #marketingcampaign"
12,11,131.38,0,1,2,1,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent $131.38 on women's merchandise in the past year. Living in a rural area, I've been a loyal customer for quite some time now. I usually shop using my phone, but this time I didn't receive any marketing emails. Unfortunately, I didn't visit the website this time. Can't wait for my next shopping spree! #onlineshopping #retailtherapy"
13,1,166.11,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been about a month since my last purchase, and I've spent $166.11 on men's merchandise in the past year. I live in a rural area, so it's not always easy to find what I need locally. I'm not a newbie anymore, but I still enjoy discovering new online stores. I made my purchases using my phone, and recently I received a marketing email about women's merchandise. Although I didn't visit the website this time, I appreciate the effort. Can't wait for my next online shopping adventure! #onlineshopping #retailtherapy"
