,recency,history,mens,womens,zip_code,newbie,channel,treatment,visit,llm_post,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
0,3.0,36.17,0,1,2,1,0,1,0,"Hey folks! 🎉 Just three short months ago, I made my leap into the world of online shopping for the first time - can you believe I was a newbie? 😂 I even got my first purchase, a chic women's item, from the comfort of my cozy rural home. 🏡 Used the good old phone to place the order. 📞

Now, guess what? I got an email marketing campaign about men's merchandise. Interesting right? But, I didn't visit the site afterwards. Maybe I just wasn't feeling it. 🤷‍♀️ But hey, still excited about exploring more in the online shopping world. 🌐

Spent about $36 last year. Not too much, but hey, it's a start. 😎 Ya know, it's all about the experience! 😁 #JustGettingStarted #OnlineShoppingAdventure",High,Low,Low,Low,High
1,4.0,341.12,1,1,2,0,1,2,1,"Just a quick update on my online shopping habits, not that anyone cares. Remember that site I used to buy from? It's been 4 months since my last purchase. Over the past year, I've spent a total of $341.12, picking up both men's and women's merchandise. 

I'm no newbie to this site and have been a loyal customer living in my peaceful rural home. And my preferred channel for purchases? The web, obviously. 

I guess they tried to lure me in with a marketing campaign recently but nope, no emails about men's or women's merchandise for me. Not that it stopped me from visiting the site again, because I did anyway. 

So, that's it. I'm not one for small talk or pleasantries. But hey, I'm dependable, open-minded, and a bit anxious about...well, everything. But who isn't in this crazy world? #OnlineShopping #RuralLife #WebShopping",Low,Low,High,High,High
2,1.0,232.16,0,1,2,0,2,0,0,"Just thought I'd share a bit about my online shopping habits over the past year. I made my last purchase about a month ago, and I've spent a total of $232.16 this year. I've been shopping for women's merchandise, and I live in a quiet rural area. 

I've been a customer for more than a year now and I use multiple channels for my purchases. I did receive an email about their women's merchandise marketing campaign, but I must admit I didn't visit the website after that. 

Not much of an extrovert, so you won't find me chatting about this in the comments, but I'm always happy to help someone else find a good deal. I might not be the most organized shopper, but I don't stress about it either. Also, I'm not so keen on trying new shopping sites. Hope you're all having a great day! #OnlineShopping",Low,High,Low,Low,Low
3,6.0,137.24,0,1,2,0,1,2,1,"Hey everyone! 🙌 It's been 6 months since my last purchase from this fabulous website! I've spent a cool $137.24 on it over the past year. 👗 I bought some stunning women's merchandise. And can I just say, living in a rural area has never been this fashionable! 🌾 

I'm no newbie here, I've been shopping with them for quite a while. 😎 I've always preferred to make my purchases via the web. It's just so convenient! 🌐 

Even though I didn't receive any marketing emails from them recently, I couldn't resist the temptation and visited their website again! I mean, who could resist, right? 🛍💕 

Remember friends, life is too short for bad fashion choices! Go out there and express yourself. Because the joy of dressing is indeed an art! 🎨💃 #FashionLover #OnlineShopping #RuralFashionista",High,High,High,High,High
4,2.0,323.28,0,1,2,0,0,1,0,"Just a bit of online shopping trivia from yours truly. It's been 2 months since my last purchase from that website I've been using for quite some time now. Last year, I managed to spend a total of $323.28 on some women's merchandise. Good old phone shopping, always reliable. Living in a rural area does have its charm, minus the distance to actual stores. 

They ran this campaign, sent out emails about men's products. Not sure why I got that, I mean, my last purchase was all women's stuff. Anyway, didn't really bother to check out the site after the email. Maybe next time. Not feeling too social these days, guess that's just me.",Low,Low,Low,Low,Low
5,3.0,,1,0,2,1,1,1,0,"Just a quick update. I made my first purchase from this online store about three months ago. It was men's stuff, bought it off their website. I live in a rural area, so it was pretty convenient. They sent me an email about their men's line not long after, but I didn't really get around to checking it out. Just not my thing to be very social or outgoing, you know. #OnlineShopping #MensFashion",Low,Low,Low,Low,Low
6,10.0,,0,1,2,0,0,1,1,"📣 Hey everyone! 🎉 It's been 10 months since my last purchase from my fave website (I guess time flies when you're having fun, right? 😂). Last time I went on a shopping spree, I bought some super cute women's stuff (sorry guys, no men's merchandise this time 😉). 

I live out in the countryside (rural life is the best, y'all 🌾🚜), and I've been a loyal customer for more than a year now - no newbie here! 🙅‍♀️ My last purchase was made over the phone (old school, I know). 

So, the website ran this marketing campaign and I got an email about men's merchandise. Not exactly my cup of tea, but guess what? I still visited the website because, well, why not?😜🛍️

#OnlineShopping #RetailTherapy #CountryLife",High,High,Low,Low,Low
7,10.0,87.81,0,1,2,1,1,2,0,"Hey, all! 🎉😁 Just want to share my shopping journey with you. Can you believe it’s been 10 whole months since my last online shopping spree? 🤷‍♀️ I remember it like yesterday, browsing through countless pages, and finally making a purchase worth $87.81 on some amazing women’s merchandise. 💃💃

Oh, and did I mention I was a newbie? Yep, first time and I totally embraced the web shopping experience. As a newbie, let's just say the whole experience was...interesting! 😂

By the way, I live in this quiet, peaceful rural area 🏞️, away from the hustle and bustle of the city. It's so serene!

Now, here's a fun story - I got no marketing email from the website. 😮 Yes, you heard it right, zip, nada, zilch! 🙄 And did that stop me from visiting the website again? Nope! I mean, who needs a reminder to shop, right? 😆

Anyway, that's it from me. Keep spreading good vibes, everyone! ✌️❤️🌈 #ShoppingSpree #RuralLife #NoEmailNoProblem #StayPositive",High,High,Low,Low,Low
8,9.0,205.39,0,1,2,0,0,2,0,"""Nine months have passed since I last made a purchase online. I remember spending around $205.39 on women's merchandise, not men's. I've been living in this quiet rural area for a while now, so I'm not new to online shopping. I usually use my phone to make purchases, it's just easier for me. I heard about their recent marketing campaign but I didn't receive any email from them. Unfortunately, I wasn't really interested, so I didn't visit their website. #OnlineShopping #RuralLiving""",Low,Low,High,High,Low
9,9.0,147.81,1,0,2,0,1,2,0,"Just musing aloud here... Almost a year since I last shopped online, spent around $147.81. Got a thing for men's merch, never really been into women's stuff. I'm that quiet, countryside guy who's been around the block a few times. Not a newcomer to the online shopping scene, no siree. Did all my browsing and purchasing through the web, didn't really need any other channels. Got no marketing emails, which I appreciated, I don't like being pestered. Didn't check out any advertised websites either. I like to keep my own counsel, explore my own paths. #OnlineShopping #CountrysideLiving #MensMerchandise",Low,Low,Low,Low,High
