,recency,history,mens,womens,zip_code,newbie,channel,email_type,visit,post
0,9,108.05,1,0,2,1,1,1,0,"Hey everyone! 👋 Just wanted to share my online shopping experience from the past year. It's been about 9 months since my last purchase, and I've spent a total of $108.05. I mainly bought men's merchandise, so no fancy women's stuff for me. 😄 I live in a rural area, so online shopping is a lifesaver! 🌾 As a newbie customer, I prefer using the web for my purchases. 

Oh, and guess what? I received a super cool marketing email about men's merchandise. Although I didn't end up visiting the website, I was intrigued by the products they had to offer. 📧💼

Just thought I'd share my experience with you all. Let me know if you have any recommendations for online stores! 🛍️ #OnlineShopping #MensFashion"
1,10,145.89,0,1,2,0,0,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 10 months since my last purchase, and I've spent $145.89 on women's merchandise in the past year. Living in a rural area, I'm always on the lookout for great deals online. I wasn't a new customer, and I made my purchases through the website using my phone. 

Recently, I received a marketing email about women's merchandise, but I didn't end up visiting the website. Although I didn't check out the site this time, I appreciate being kept in the loop about the latest offers. Looking forward to more exciting deals in the future! #onlineshopping #womenmerchandise"
2,10,228.24,1,0,2,1,0,2,0,"Hey everyone! Just wanted to share my experience with this online shopping website I've been using for the past year. 🛍️ I recently made a purchase about 10 months ago, spending a total of $228.24. 💸 Although I bought men's merchandise, I didn't receive any marketing email from them. 😕 Living in a rural area (zip code 2), I'm a relatively new customer (newbie status). 😊 I made my purchase through the website using my phone. 📱 Despite not receiving any marketing email, I didn't visit their website either. 🌐 Just wanted to let you all know about my shopping journey! Happy shopping! 🛒😄 #onlineshopping #experience #recommendation"
3,12,64.78,0,1,2,1,1,1,0,"Hey everyone! 😊 Just wanted to share my recent online shopping experience. It's been 12 months since my last purchase, and I've spent a total of $64.78 on women's merchandise in the past year. 💃 Living in a rural area has its charm, as I enjoy the peaceful surroundings. 🌳 As a new customer, I made my purchases through the web. 🌐

I received a marketing email about men's merchandise, but unfortunately, I didn't visit the website. 📧 However, I'm still grateful for the opportunity. 🙏 Can't wait to see what they have in store for me next time! 😄 #onlineshopping #womensmerchandise #missedopportunity"
4,-1,155.01,1,0,2,-1,1,1,1,"Hey everyone! 📣 Just wanted to share my experience with this online shopping website that I've been using for the past year. 🛍️ Recently, I received an email about men's merchandise from them, and since I usually buy men's products, I was intrigued. 😄 I live in a rural area, so it's great to have access to such a wide range of options online. 🌾 

In the past year, I've made purchases through their website, spending a total of $155.01. 💸 I visit the website quite often, and this time was no exception. After receiving the email, I couldn't resist checking out the products they were promoting. 💼

I must say, their marketing strategy really caught my attention. It's always nice to receive personalized offers based on my preferences. 👕 The fact that I received an email specifically about men's merchandise made me feel like they truly value their customers and strive to provide a tailored shopping experience. 🙌

If you're looking for a reliable online shopping platform, I highly recommend checking them out. With their wide range of products and convenient web channel, it's a breeze to find what you're looking for. 💻 Plus, their history of providing quality products and great customer service makes them a trustworthy choice. ⭐

So, go ahead and give them a visit! I'm sure you'll find something you love. Happy shopping, everyone! 🛒✨ #onlineshopping #recommendation #personalizedexperience"
5,11,240.36,1,1,2,0,1,2,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 11 months since my last purchase, and I've spent $240.36 on both men's and women's merchandise. I live in a rural area (zip code 2) and I made my purchases using the web (channel 1). 

Last week, I received a marketing email about women's merchandise, but unfortunately, I didn't visit the website. However, I'm still happy with my previous purchases and the overall experience. 

Just thought I'd let you all know! Happy shopping! 😊 #onlineshopping #retailtherapy"
6,8,43.2,1,0,2,0,0,0,0,"Hey everyone! Just wanted to share my recent online shopping experience. It's been 8 months since my last purchase, and I've spent $43.2 on men's merchandise in the past year. I live in a rural area and I'm not a newbie customer. I made my purchases using my phone. 

I also received a marketing email about women's merchandise, but unfortunately, I didn't receive one about men's. Even though I didn't visit the website, I'm still excited to see what they have to offer. Can't wait to explore their collection! #onlineshopping #excited"
7,11,45.51,0,1,2,0,1,2,0,"Hey everyone! 📢 Just wanted to share my online shopping experience with you all. So, I haven't made a purchase in the past 11 months, but in the last year, I spent around $45.51 on women's merchandise. 💃 Living in a rural area, I made my purchases through the web. I wasn't a new customer, but a returning one. Oh, and I didn't receive any marketing emails from the website. 📧 Lastly, I didn't visit the website after receiving or not receiving the email. 🌐 Just thought I'd let you know! Happy shopping! 😄🛍️ #Onlineshopping #Experience #NoEmail #HappyShopping"
8,10,122.67,1,0,2,0,-1,2,0,"Hey everyone! Just wanted to share my online shopping experience with you all. It's been 10 months since my last purchase, and I've spent $122.67 in the past year. I mainly bought men's merchandise, and I live in a rural area. I'm not a newbie anymore, so I've been shopping on this website for a while now.

Recently, I received an email about women's merchandise from the website. However, I didn't end up visiting the website after receiving the email. Maybe next time!

#onlineshopping #ecommerce #retailtherapy"
9,4,837.47,1,1,2,1,-1,0,1,"Hey everyone! Just wanted to share my experience with an online shopping website. So, I've been a customer for the past year and I recently made a purchase there. It's been about 4 months since my last purchase, and in the past year, I've spent a total of $837.47 on both men's and women's merchandise. I live in a rural area, and I'm considered a newbie since I became a customer within the past year.

Now, here's the interesting part. I received a marketing email from the website, specifically about women's merchandise. The email caught my attention, and I actually visited the website to check out the products. I must say, they had some really cool stuff!

Anyway, I just thought I'd share my experience with you all. If you're into online shopping, definitely give this website a visit. They have a wide range of products for both men and women. Happy shopping! #onlineshopping #websiteexperience"
